sep=,
"ID beacon'a","Moc rozgłaszania","RSSI","Dystans","Czas","ID urządzenia","Poziom baterii"
"F4:1C:50:21:23:FD","4","-53","0.3","03-12-2015 14:49:45","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-20","-74","0.3","03-12-2015 14:49:49","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-16","-70","0.3","03-12-2015 14:49:50","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-16","-70","0.3","03-12-2015 14:49:51","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-16","-71","0.3","03-12-2015 14:49:51","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-12","-66","0.3","03-12-2015 14:49:52","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-12","-66","0.3","03-12-2015 14:49:53","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-8","-63","0.3","03-12-2015 14:49:54","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-4","-59","0.3","03-12-2015 14:49:56","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","0","-55","0.3","03-12-2015 14:49:58","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","4","-53","0.3","03-12-2015 14:50:00","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","4","-53","0.3","03-12-2015 14:50:00","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","4","-53","0.3","03-12-2015 14:50:01","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-30","-88","0.3","03-12-2015 14:50:02","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-30","-87","0.3","03-12-2015 14:50:02","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-20","-74","0.3","03-12-2015 14:50:03","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-20","-74","0.3","03-12-2015 14:50:05","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-16","-71","0.3","03-12-2015 14:50:06","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-16","-71","0.3","03-12-2015 14:50:06","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-16","-71","0.3","03-12-2015 14:50:07","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-12","-66","0.3","03-12-2015 14:50:08","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-12","-66","0.3","03-12-2015 14:50:08","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-8","-63","0.3","03-12-2015 14:50:10","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-8","-63","0.3","03-12-2015 14:50:11","GT-I9515 - 1a88bbcf523c933c","38"
"F4:1C:50:21:23:FD","-8","-63","0.3","03-12-2015 14:50:11","GT-I9515 - 1a88bbcf523c933c","38"
