ID beacon'a;Moc rozgłaszania;RSSI;Dystans;Czas;ID urządzenia;Poziom baterii;;;;;;Dystans;RSSI
F4:1C:50:21:23:FD;-4;-68;0,75;03-12-2015 15:09:40;GT-I9515 - 1a88bbcf523c933c;31;;;;;;0,75;-68
F4:1C:50:21:23:FD;-4;-68;0,75;03-12-2015 15:09:40;GT-I9515 - 1a88bbcf523c933c;31;;;;;;0,75;-68
F4:1C:50:21:23:FD;-4;-68;0,75;03-12-2015 15:09:41;GT-I9515 - 1a88bbcf523c933c;31;;;;;;0,75;-68
F4:1C:50:21:23:FD;-4;-68;0,75;03-12-2015 15:09:57;GT-I9515 - 1a88bbcf523c933c;31;;;;;;0,75;-68
F4:1C:50:21:23:FD;-4;-68;0,75;03-12-2015 15:09:57;GT-I9515 - 1a88bbcf523c933c;31;;;;;;0,75;-68
F4:1C:50:21:23:FD;-4;-68;0,75;03-12-2015 15:10:11;GT-I9515 - 1a88bbcf523c933c;31;;;;;;0,75;-68
F4:1C:50:21:23:FD;-4;-68;0,75;03-12-2015 15:10:12;GT-I9515 - 1a88bbcf523c933c;31;;;;;;0,75;-68
F4:1C:50:21:23:FD;-4;-68;0,75;03-12-2015 15:10:12;GT-I9515 - 1a88bbcf523c933c;31;;;;;;0,75;-68
F4:1C:50:21:23:FD;-4;-68;0,75;03-12-2015 15:10:28;GT-I9515 - 1a88bbcf523c933c;31;;;;;;0,75;-68
F4:1C:50:21:23:FD;-4;-68;0,75;03-12-2015 15:10:29;GT-I9515 - 1a88bbcf523c933c;31;;;;;;0,75;-68
F4:1C:50:21:23:FD;-4;-68;0,75;03-12-2015 15:10:43;GT-I9515 - 1a88bbcf523c933c;30;;;;;;0,75;-68
F4:1C:50:21:23:FD;-4;-69;0,75;03-12-2015 15:10:46;GT-I9515 - 1a88bbcf523c933c;30;;;;;;0,75;-69
F4:1C:50:21:23:FD;-4;-68;0,75;03-12-2015 15:11:00;GT-I9515 - 1a88bbcf523c933c;30;;;;;;0,75;-68
F4:1C:50:21:23:FD;-4;-68;0,75;03-12-2015 15:11:01;GT-I9515 - 1a88bbcf523c933c;30;;;;;;0,75;-68
F4:1C:50:21:23:FD;-4;-68;0,75;03-12-2015 15:11:16;GT-I9515 - 1a88bbcf523c933c;30;;;;;;0,75;-68
F4:1C:50:21:23:FD;-4;-69;0,75;03-12-2015 15:11:16;GT-I9515 - 1a88bbcf523c933c;30;;;;;;0,75;-69
F4:1C:50:21:23:FD;-4;-68;0,75;03-12-2015 15:11:17;GT-I9515 - 1a88bbcf523c933c;30;;;;;;0,75;-68
F4:1C:50:21:23:FD;-4;-68;0,75;03-12-2015 15:11:17;GT-I9515 - 1a88bbcf523c933c;30;;;;;;0,75;-68
F4:1C:50:21:23:FD;-4;-68;0,75;03-12-2015 15:11:31;GT-I9515 - 1a88bbcf523c933c;30;;;;;;0,75;-68
F4:1C:50:21:23:FD;-4;-68;0,75;03-12-2015 15:11:32;GT-I9515 - 1a88bbcf523c933c;30;;;;;;0,75;-68
F4:1C:50:21:23:FD;-4;-68;0,75;03-12-2015 15:11:33;GT-I9515 - 1a88bbcf523c933c;30;;;;;;0,75;-68
F4:1C:50:21:23:FD;-4;-68;0,75;03-12-2015 15:11:48;GT-I9515 - 1a88bbcf523c933c;30;;;;;;0,75;-68
F4:1C:50:21:23:FD;-4;-67;0,75;03-12-2015 15:15:01;GT-I9515 - 1a88bbcf523c933c;29;;;;;;0,75;-67
F4:1C:50:21:23:FD;-4;-66;0,75;03-12-2015 15:15:15;GT-I9515 - 1a88bbcf523c933c;29;;;;;;0,75;-66
F4:1C:50:21:23:FD;-4;-66;0,75;03-12-2015 15:15:16;GT-I9515 - 1a88bbcf523c933c;29;;;;;;0,75;-66
F4:1C:50:21:23:FD;-4;-62;0,75;03-12-2015 15:15:17;GT-I9515 - 1a88bbcf523c933c;29;;;;;;0,75;-62
F4:1C:50:21:23:FD;-4;-66;1;03-12-2015 15:16:04;GT-I9515 - 1a88bbcf523c933c;28;;;;;;1;-66
F4:1C:50:21:23:FD;-4;-66;1;03-12-2015 15:16:20;GT-I9515 - 1a88bbcf523c933c;28;;;;;;1;-66
F4:1C:50:21:23:FD;-4;-66;1;03-12-2015 15:16:21;GT-I9515 - 1a88bbcf523c933c;28;;;;;;1;-66
F4:1C:50:21:23:FD;-4;-66;1;03-12-2015 15:16:36;GT-I9515 - 1a88bbcf523c933c;28;;;;;;1;-66
F4:1C:50:21:23:FD;-4;-67;1;03-12-2015 15:16:52;GT-I9515 - 1a88bbcf523c933c;28;;;;;;1;-67
F4:1C:50:21:23:FD;-4;-68;1;03-12-2015 15:16:53;GT-I9515 - 1a88bbcf523c933c;28;;;;;;1;-68
F4:1C:50:21:23:FD;-4;-67;1;03-12-2015 15:17:09;GT-I9515 - 1a88bbcf523c933c;27;;;;;;1;-67
F4:1C:50:21:23:FD;-4;-67;1;03-12-2015 15:17:24;GT-I9515 - 1a88bbcf523c933c;27;;;;;;1;-67
F4:1C:50:21:23:FD;-4;-66;1;03-12-2015 15:17:40;GT-I9515 - 1a88bbcf523c933c;27;;;;;;1;-66
F4:1C:50:21:23:FD;-4;-67;1;03-12-2015 15:17:56;GT-I9515 - 1a88bbcf523c933c;27;;;;;;1;-67
F4:1C:50:21:23:FD;-4;-66;1;03-12-2015 15:18:13;GT-I9515 - 1a88bbcf523c933c;27;;;;;;1;-66
F4:1C:50:21:23:FD;-4;-67;1;03-12-2015 15:18:27;GT-I9515 - 1a88bbcf523c933c;26;;;;;;1;-67
F4:1C:50:21:23:FD;-4;-67;1;03-12-2015 15:18:28;GT-I9515 - 1a88bbcf523c933c;26;;;;;;1;-67
F4:1C:50:21:23:FD;-4;-67;1;03-12-2015 15:18:29;GT-I9515 - 1a88bbcf523c933c;26;;;;;;1;-67
F4:1C:50:21:23:FD;-4;-67;1;03-12-2015 15:18:44;GT-I9515 - 1a88bbcf523c933c;26;;;;;;1;-67
F4:1C:50:21:23:FD;-4;-67;1;03-12-2015 15:18:59;GT-I9515 - 1a88bbcf523c933c;26;;;;;;1;-67
F4:1C:50:21:23:FD;-4;-67;1;03-12-2015 15:19:00;GT-I9515 - 1a88bbcf523c933c;26;;;;;;1;-67
F4:1C:50:21:23:FD;-4;-67;1;03-12-2015 15:19:01;GT-I9515 - 1a88bbcf523c933c;26;;;;;;1;-67
F4:1C:50:21:23:FD;-4;-67;1;03-12-2015 15:19:16;GT-I9515 - 1a88bbcf523c933c;26;;;;;;1;-67
F4:1C:50:21:23:FD;-4;-67;1;03-12-2015 15:19:17;GT-I9515 - 1a88bbcf523c933c;26;;;;;;1;-67
