ID beacon'a;Moc rozgłaszania;RSSI;Dystans;Czas;ID urządzenia;Poziom baterii;;;;;;Dystans;RSSI;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:57:29;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-52;0,3;03-12-2015 14:57:44;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-52;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:57:44;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:57:45;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-52;0,3;03-12-2015 14:58:00;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-52;;;
F4:1C:50:21:23:FD;4;-52;0,3;03-12-2015 14:58:01;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-52;;;
F4:1C:50:21:23:FD;4;-52;0,3;03-12-2015 14:58:17;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-52;;;
F4:1C:50:21:23:FD;4;-52;0,3;03-12-2015 14:58:17;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-52;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:58:31;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:58:32;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:58:49;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:59:04;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:59:04;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:59:05;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:59:21;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:59:36;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:59:37;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:59:37;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-53;;;
F4:1C:50:21:23:FD;4;-53;0,3;03-12-2015 14:59:51;GT-I9515 - 1a88bbcf523c933c;34;;;;;;0,3;-53;;;
